BUILD_NO,NAME,COST,REWARD
142,FVAS BUILDING,416.7720990231266,0.0
147,BIOSCIENCES 4,405.31058354381014,0.102040816326531
147,BIOSCIENCES 4,368.2885172665549,0.102040816326531
147,BIOSCIENCES 4,328.21661739163517,0.102040816326531
141,CONSERVATORIUM OF MUSIC,297.76996936658395,0.0
194,BIOSCIENCES 5,281.68765021087825,0.0
144,KENNETH MYER BUILDING,198.54111371682853,1.416666666666667
184,OLD MICROBIOLOGY BUILDING,159.10385336670873,0.068181818181818
183,HOWARD FLOREY INSTITUTE,116.07171581483352,0.0
181,MEDICAL BUILDING,47.70041023506644,0.0
182,BROWNLESS BIOMEDICAL LIBRARY,127.3448711158608,0.272727272727273
177,BAILLIEU LIBRARY,177.4484308539298,0.454545454545455
140,GRAINGER MUSEUM,365.535535434182,0.0
122,BIOSCIENCES 2,428.3501435643889,0.017241379310345
139,BABEL BUILDING,381.06274840285766,0.094339622641509
121,BOTANY POTTING SHED,406.64797147586603,0.0
101,BEAUREPAIRE CENTRE,563.8401163795086,0.0
112,UNIVERSITY HOUSE,500.7265591022042,0.0
191,JOHN MEDLEY BUILDING,124.85448152958894,0.0
191,JOHN MEDLEY BUILDING,155.2131575488675,0.0
187,GATEKEEPER'S LODGE,71.06911733391605,0.0
149,OLD ARTS BUILDING,278.90645979637503,0.166666666666667
143,BIOSCIENCES 3,390.2010057915888,0.0
128,OLD PHYSICS BUILDING,373.25151478228355,1.0
130,UNION HOUSE,435.0598537479839,0.0
150,OLD QUADRANGLE BUILDING,361.17152806266193,0.0
152,RAYMOND PRIESTLEY BUILDING,405.2900061055761,0.0
152,RAYMOND PRIESTLEY BUILDING,423.79643886515754,0.0
150,OLD QUADRANGLE BUILDING,307.3006203273706,0.0
150,OLD QUADRANGLE BUILDING,318.82882922637947,0.0
193,ELECTRICAL & ELECTRONIC ENGINEERING BUILDING,202.25934823959608,0.069767441860465
113,BALDWIN SPENCER BUILDING,528.0143600322361,0.375
173,OLD ENGINEERING SCHOOL,195.4518762067532,2.0
166,OLD METALLURGY BUILDING,236.51203312305122,0.1
163,WALTER BOAS BUILDING,286.085298745939,0.229166666666667
161,BUILDING 161,340.7840346599729,0.0
175,INFRASTRUCTURE ENGINEERING (BLOCK B),117.79547933963998,0.02
153,CHEMISTRY BUILDING (WEST WING),355.7040974972148,0.022727272727273
155,OLD GEOLOGY BUILDING (NORTH WING),447.0780199250795,0.733333333333333
115,REDMOND BARRY BUILDING,572.4578288284403,0.263157894736842
115,REDMOND BARRY BUILDING,551.4469707027445,0.263157894736842
165,CHEMICAL ENGINEERING 1,311.88210954650896,0.010526315789474
192,DAVID CARO BUILDING,587.7775259150965,0.046511627906977
133,GLYN DAVIS BUILDING,475.2164216593458,0.221153846153846
160,PETER HALL BUILDING,462.7588204926696,0.085106382978723
199,757 SWANSTON ST (STOP 1 & STUDENT SERVICES),435.51216300990654,0.123287671232877
198,1888 BUILDING,347.911624439664,0.0
103,NONA LEE SPORTS CENTRE,617.3322911118356,0.0
168,DOUG MCDONELL BUILDING,353.2448162865664,0.052083333333333
189,FRANK TATE BUILDING,393.9990262083318,0.0
158,SIDNEY MYER ASIA CENTRE,470.0117700354026,0.074074074074074
171,EASTERN RESOURCE CENTRE (ERC LIBRARY),328.6726929744519,0.0
162,ALICE HOY BUILDING,407.043919595855,0.056603773584906
171,EASTERN RESOURCE CENTRE (ERC LIBRARY),344.3126697061633,0.0
192,DAVID CARO BUILDING,629.1106453265321,0.046511627906977
192,DAVID CARO BUILDING,599.2463339352382,0.046511627906977
136,IAN POTTER MUSEUM OF ART,585.2875819705824,0.1
134,ELISABETH MURDOCH BUILDING,536.8420034562857,0.290322580645161
103,NONA LEE SPORTS CENTRE,587.797777772133,0.0
498,ERNIE CROPLEY SPORTS PAVILION,916.2015994374694,0.0
503,MAINTENANCE GARAGE,946.0732846076446,0.0
234,GRAND STAND (MU SPORT),829.4212997804748,0.0
186,BUILDING 186,88.29347802791546,0.0
148A,ARTS WEST BUILDING (NORTH WING),289.548441048838,0.0
125,BUILDING 125,494.45708101947196,0.0
151,WILSON HALL,279.3808164284002,0.0
154,CHEMISTRY BUILDING (EAST WING),396.2239469766733,0.015873015873016
174,INFRASTRUCTURE ENGINEERING (BLOCK C),150.24687918711146,0.011111111111111
176,INFRASTRUCTURE ENGINEERING (BLOCK D),206.1586033249712,0.102189781021898
170,MECHANICAL ENGINEERING BUILDING,275.92610077302703,0.022222222222222
169,ENGINEERING WORKSHOPS,281.9150047618817,0.0
120,SYSTEM GARDEN TOWER,453.85695668242363,0.0
123,BIOSCIENCES 1,525.3556635108787,0.166666666666667
156,OLD GEOLOGY BUILDING (SOUTH WING),414.7075915636992,0.3
148B,ARTS WEST BUILDING (WEST WING),289.12245998122796,0.0
203,SECURITY OFFICE,204.29087608777945,0.333333333333333
348,723 SWANSTON ST (MELBOURNE DENTAL CLINIC LTD),396.21654474795537,0.0
384,UNIVERSITY BUSINESS SERVICES BUILDING,338.0597487202869,0.272727272727273
368,205 GRATTAN ST (OFFICE OF ASSOCIATE PROVOST),230.43394787394527,0.142857142857143
257,187 GRATTAN ST,332.436513503474,0.217391304347826
353,159 BARRY ST,0.0,1.0
105,FBE BUILDING,72.16704481670305,0.075098814229249
206,214 BERKELEY ST (MCM PRACTICE ROOMS),9.25183088884289,0.0
106,LAW BUILDING,250.72492346855606,0.049382716049383
281,204 LYGON ST (LEVELS 4 & 5),841.1010899921963,0.666666666666667
278,100 LEICESTER ST (MGSE),462.23243093853847,0.147169811320755
263,KWONG LEE DOW BUILDING (MGSE),485.21129879003917,0.19047619047619
379,207-221 BOUVERIE ST (MSPGH & GEOGRAPHY),254.48130709418425,0.103174603174603
326,95-109 BARRY ST (FBE),152.52926050536175,0.0
222,"766 ELIZABETH ST (LEVELS G, 3, 4)",37.154950682459386,0.0
250,233 BOUVERIE ST (FBE),238.8895400479103,0.0
243,715 SWANSTON ST (MUP & TC),404.36458330475705,0.0
204,208-210 BERKELEY ST (MCM PRACTICE ROOMS),29.1721151673753,0.0
207,202-206 BERKELEY ST (MDHS),42.03892146668935,0.5
242,GRATTAN INSTITUTE (8-14 MALVINA PLACE),230.68970841751468,0.0
220,780 ELIZABETH ST,70.6367404723614,0.352941176470588
107,UNIVERSITY SQUARE CARPARK,40.06804039898787,0.0
224,169 BERKELEY ST (MU SPORT),157.3298808778703,0.0
352,157 BARRY ST,2.7225248215304605,0.0
251,155 BARRY ST,2.6700388102996904,0.0
221,45 BARRY ST (LEVEL 3),364.70171114300683,0.164179104477612
385,UNIVERSITY HEALTH SERVICES BUILDING,671.8879151804227,2.0
266,11 BARRY ST (BUSINESS SERVICES),419.4026773607945,0.072972972972973
274,201 GRATTAN ST (MELBOURNE SOCIAL EQUITY INSTITUTE),256.18951907414066,0.181818181818182
