BUILD_NO,NAME,COST,REWARD
142,FVAS BUILDING,106.27952890562433,0.0
147,BIOSCIENCES 4,86.42320452934884,1.346938775510204
147,BIOSCIENCES 4,50.74928600489121,1.346938775510204
147,BIOSCIENCES 4,15.827543628324648,1.346938775510204
141,CONSERVATORIUM OF MUSIC,33.890688038206314,0.0
194,BIOSCIENCES 5,14.182253435701172,0.0
144,KENNETH MYER BUILDING,31.736664210733693,21.333333333333332
184,OLD MICROBIOLOGY BUILDING,105.86733148064232,0.988636363636364
183,HOWARD FLOREY INSTITUTE,163.85055434908617,0.0
181,MEDICAL BUILDING,127.40656375220355,0.0
182,BROWNLESS BIOMEDICAL LIBRARY,118.82813655049995,2.363636363636364
177,BAILLIEU LIBRARY,0.0,5.136363636363637
140,GRAINGER MUSEUM,86.48858900724468,0.0
122,BIOSCIENCES 2,108.43832439084758,0.172413793103448
139,BABEL BUILDING,60.96905819859997,1.377358490566038
121,BOTANY POTTING SHED,87.03190344838528,0.0
101,BEAUREPAIRE CENTRE,260.6493472533013,0.0
112,UNIVERSITY HOUSE,186.53264382774722,0.0
191,JOHN MEDLEY BUILDING,198.21750576424955,0.0
191,JOHN MEDLEY BUILDING,239.04541750624477,0.0
187,GATEKEEPER'S LODGE,263.59982447893873,0.0
149,OLD ARTS BUILDING,53.54369335737823,1.595238095238095
143,BIOSCIENCES 3,93.11136024251053,0.0
128,OLD PHYSICS BUILDING,122.03567963318896,21.0
130,UNION HOUSE,143.79307287170445,0.0
150,OLD QUADRANGLE BUILDING,147.7998284634528,0.0
152,RAYMOND PRIESTLEY BUILDING,221.30796100161945,0.0
152,RAYMOND PRIESTLEY BUILDING,270.3770392764667,0.0
150,OLD QUADRANGLE BUILDING,122.76295670139612,0.0
150,OLD QUADRANGLE BUILDING,186.81433248392767,0.0
193,ELECTRICAL & ELECTRONIC ENGINEERING BUILDING,220.43876991896667,0.447674418604651
113,BALDWIN SPENCER BUILDING,301.13180323154353,2.375
