Building Code,Building Name,Campus Code,Latitude,Longitude
101,BEAUREPAIRE CENTRE,PAR,-37.79602400,144.96089400
102,DAVID PENINGTON BUILDING,PAR,-37.79796500,144.95388500
103,NONA LEE SPORTS CENTRE,PAR,-37.79593100,144.96230400
104,ALAN GILBERT BUILDING,PAR,-37.80021700,144.95913700
105,FBE BUILDING,PAR,-37.80156200,144.95923000
106,LAW BUILDING,PAR,-37.80242200,144.96003100
107,UNIVERSITY SQUARE CARPARK,PAR,-37.80048300,144.96037600
110,THE SPOT,PAR,-37.80160600,144.95879700
112,UNIVERSITY HOUSE,PAR,-37.79637900,144.96014700
113,BALDWIN SPENCER BUILDING,PAR,-37.79652600,144.96197900
115,REDMOND BARRY BUILDING,PAR,-37.79664900,144.96272700
116,POP UP STUDY PAVILION,PAR,,
117,POP UP CAFE,PAR,,
120,SYSTEM GARDEN TOWER,PAR,,
121,BOTANY POTTING SHED,PAR,-37.79730600,144.95958800
122,BIOSCIENCES 2,PAR,-37.79675900,144.95965800
123,BIOSCIENCES 1,PAR,-37.79630500,144.95943800
125,BUILDING 125,PAR,-37.79633600,144.95866300
128,OLD PHYSICS BUILDING,PAR,-37.79732300,144.96061700
130,UNION HOUSE,PAR,-37.79687700,144.96090400
133,GLYN DAVIS BUILDING,PAR,-37.79742900,144.96300000
134,ELISABETH MURDOCH BUILDING,PAR,-37.79742900,144.96344200
136,IAN POTTER MUSEUM OF ART,PAR,-37.79750100,144.96414300
139,BABEL BUILDING,PAR,-37.79731100,144.95962000
140,GRAINGER MUSEUM,PAR,-37.79730300,144.95841800
141,CONSERVATORIUM OF MUSIC,PAR,-37.79767700,144.95849000
142,FVAS BUILDING,PAR,-37.79658300,144.95858400
143,BIOSCIENCES 3,PAR,-37.79722800,144.96016800
144,KENNETH MYER BUILDING,PAR,-37.79825800,144.95854900
145,LOW LIGHT GLASSHOUSE (NORTH),PAR,-37.79724300,144.95966300
146,LOW LIGHT GLASSHOUSE (SOUTH),PAR,-37.79723800,144.95966300
147,BIOSCIENCES 4,PAR,-37.79726400,144.95895200
148A,ARTS WEST BUILDING (NORTH WING),PAR,-37.79782900,144.95924800
148B,ARTS WEST BUILDING (WEST WING),PAR,-37.79765000,144.95952800
149,OLD ARTS BUILDING,PAR,-37.79778000,144.96016500
150,OLD QUADRANGLE BUILDING,PAR,-37.79773400,144.96074800
151,WILSON HALL,PAR,-37.79822800,144.96129900
153,CHEMISTRY BUILDING (WEST WING),PAR,-37.79796000,144.96211200
154,CHEMISTRY BUILDING (EAST WING),PAR,-37.79807500,144.96252100
155,OLD GEOLOGY BUILDING (NORTH WING),PAR,-37.79791500,144.96294200
156,OLD GEOLOGY BUILDING (SOUTH WING),PAR,-37.79819800,144.96286700
158,SIDNEY MYER ASIA CENTRE,PAR,-37.79891700,144.96391800
159,ARTS & CULTURAL BUILDING,PAR,,
160,PETER HALL BUILDING,PAR,-37.79810200,144.96364300
161,BUILDING 161,PAR,-37.79845000,144.96215100
162,ALICE HOY BUILDING,PAR,-37.79865000,144.96327300
163,WALTER BOAS BUILDING,PAR,-37.79854000,144.96178900
164,BUILDING 164,PAR,-37.79904000,144.96244100
165,CHEMICAL ENGINEERING 1,PAR,-37.79870100,144.96224400
166,OLD METALLURGY BUILDING,PAR,-37.79905200,144.96178700
167,CHEMICAL ENGINEERING 2,PAR,-37.79907500,144.96204500
168,DOUG MCDONELL BUILDING,PAR,-37.79899000,144.96297000
169,ENGINEERING WORKSHOPS,PAR,-37.79944800,144.96230700
170,MECHANICAL ENGINEERING BUILDING,PAR,-37.79985900,144.96228400
171,EASTERN RESOURCE CENTRE (ERC LIBRARY),PAR,-37.79967200,144.96306900
173,OLD ENGINEERING SCHOOL,PAR,-37.79952000,144.96174900
174,INFRASTRUCTURE ENGINEERING (BLOCK C),PAR,-37.79987500,144.96130800
175,INFRASTRUCTURE ENGINEERING (BLOCK B),PAR,-37.79983500,144.96088400
176,INFRASTRUCTURE ENGINEERING (BLOCK D),PAR,-37.79995100,144.96185300
177,BAILLIEU LIBRARY,PAR,-37.79837900,144.95939600
181,MEDICAL BUILDING,PAR,-37.79925500,144.95890700
182,BROWNLESS BIOMEDICAL LIBRARY,PAR,-37.79899800,144.95944800
183,HOWARD FLOREY INSTITUTE,PAR,-37.79906300,144.95819600
184,OLD MICROBIOLOGY BUILDING,PAR,-37.79870400,144.95840200
186,BUILDING 186,PAR,-37.79940200,144.95989700
187,GATEKEEPER'S LODGE,PAR,-37.79976400,144.96031600
188,VISITOR & MERCHANDISE CENTRE,PAR,,
189,FRANK TATE BUILDING,PAR,-37.79930700,144.96329400
191,JOHN MEDLEY BUILDING,PAR,-37.79925200,144.96052400
192,DAVID CARO BUILDING,PAR,-37.79708300,144.96358700
193,ELECTRICAL & ELECTRONIC ENGINEERING BUILDING,PAR,-37.79886100,144.96118500
194,BIOSCIENCES 5,PAR,-37.79790900,144.95879900
195,SOUTH LAWN UNDERGROUND CAR PARK,PAR,-37.79865000,144.95993600
197,BUILDING 197,PAR,-37.79944900,144.96374300
198,1888 BUILDING,PAR,-37.79983500,144.96320300
199,757 SWANSTON ST (STOP 1 & STUDENT SERVICES),PAR,-37.79992200,144.96376100
200,MCCOY BUILDING,PAR,-37.79712100,144.96525300
201,THOMAS CHERRY BUILDING,PAR,-37.79736600,144.96492400
202,MELBOURNE BUSINESS SCHOOL,PAR,-37.80127200,144.96060100
203,SECURITY OFFICE,PAR,-37.80043600,144.96158100
204,208-210 BERKELEY ST (MCM PRACTICE ROOMS),PAR,-37.80078400,144.95896200
206,214 BERKELEY ST (MCM PRACTICE ROOMS),PAR,-37.80062800,144.95897800
207,202-206 BERKELEY ST (MDHS),PAR,-37.80089400,144.95894400
213,145-147 LEICESTER ST (LAND ONLY),PAR,-37.80275700,144.96086200
214,149 LEICESTER ST (LAND ONLY),PAR,-37.80195100,144.95998000
215,202 PELHAM ST (LAND ONLY),PAR,-37.80207400,144.95976700
216,179-187 PELHAM ST (CARLTON TELEPHONE EXCHANGE),PAR,-37.80225100,144.95756700
220,780 ELIZABETH ST,PAR,-37.80043300,144.95799800
221,45 BARRY ST (LEVEL 3),PAR,-37.80328200,144.95951900
224,169 BERKELEY ST (MU SPORT),PAR,-37.80158000,144.95822300
225,221 BERKELEY ST (CYP),PAR,-37.80041084,144.95840977
232,"535 ELIZABETH ST (LEVELS 3, 4, 5)",PAR,-37.80559600,144.95870600
234,GRAND STAND (MU SPORT),PAR,-37.79420500,144.96084200
242,GRATTAN INSTITUTE (8-14 MALVINA PLACE),PAR,-37.80059300,144.96182400
243,715 SWANSTON ST (MUP & TC),PAR,-37.80115900,144.96342400
244,800 SWANSTON ST (EYECARE CLINIC),PAR,-37.79782500,144.96469200
245,32 LINCOLN SQUARE NORTH,PAR,-37.80132000,144.96272700
246,550 SWANSTON ST (AUDIOLOGY CLINIC),PAR,-37.80386200,144.96386100
248,PETER DOHERTY INSTITUTE,PAR,-37.79998700,144.95827200
249,183 BOUVERIE ST (LINCOLN SQUARE GYM),PAR,-37.80204700,144.96189300
250,233 BOUVERIE ST (FBE),PAR,-37.80103000,144.96193800
251,155 BARRY ST,PAR,-37.80040300,144.95953400
252,156-162 PELHAM ST (STUDENT SERVICES),PAR,-37.80202300,144.96128900
253,164-170 PELHAM ST (STUDENT SERVICES),PAR,-37.80199914,144.96121577
254,172 BOUVERIE ST (MSE),PAR,-37.80069200,144.96275400
255,BOUVERIE ST ENTRANCE UNIVERSITY SQ CARPARK,PAR,-37.80078500,144.96179700
256,247-249 BOUVERIE ST,PAR,,
257,187 GRATTAN ST,PAR,-37.80055100,144.96277700
260,200 BERKELEY ST (MSHS),PAR,-37.80117800,144.95890100
261,203 BOUVERIE ST (BIOMEDICAL ENGINEERING),PAR,-37.80168700,144.96175300
262,228 QUEENSBERRY ST (CHILDCARE),PAR,-37.80411000,144.96124700
263,KWONG LEE DOW BUILDING (MGSE),PAR,-37.80398300,144.96082700
266,11 BARRY ST (BUSINESS SERVICES),PAR,-37.80377700,144.95970600
269,170 BOUVERIE ST (ATLANTIC FELLOWS PROGRAM),PAR,-37.80076500,144.96275800
