Building Code,Building Name,TR_CAP,AVG_SIZE,LOC_CODE
101,BEAUREPAIRE CENTRE,12.0,41.28285714285715,PAR;101
102,DAVID PENINGTON BUILDING,54.0,10.402142857142854,PAR;102
103,NONA LEE SPORTS CENTRE,13.0,7.025555555555556,PAR;103
104,ALAN GILBERT BUILDING,93.0,15.487692307692312,PAR;104
105,FBE BUILDING,111.0,17.79045454545455,PAR;105
106,LAW BUILDING,202.0,8.916666666666664,PAR;106
110,THE SPOT,126.0,9.531857142857143,PAR;110
113,BALDWIN SPENCER BUILDING,21.0,10.769,PAR;113
115,REDMOND BARRY BUILDING,48.0,14.281176470588232,PAR;115
122,BIOSCIENCES 2,6.0,7.290000000000001,PAR;122
123,BIOSCIENCES 1,7.0,8.785,PAR;123
125,BUILDING 125,36.0,11.13653846153846,PAR;125
128,OLD PHYSICS BUILDING,10.0,7.281666666666665,PAR;128
130,UNION HOUSE,58.0,14.323043478260868,PAR;130
133,GLYN DAVIS BUILDING,65.0,10.28161290322581,PAR;133
134,ELISABETH MURDOCH BUILDING,20.0,12.542499999999999,PAR;134
136,IAN POTTER MUSEUM OF ART,9.0,7.056666666666666,PAR;136
139,BABEL BUILDING,24.0,5.76875,PAR;139
140,GRAINGER MUSEUM,3.0,16.74,PAR;140
141,CONSERVATORIUM OF MUSIC,9.0,9.041428571428572,PAR;141
142,FVAS BUILDING,10.0,9.452,PAR;142
143,BIOSCIENCES 3,8.0,6.377142857142857,PAR;143
144,KENNETH MYER BUILDING,46.0,8.864878048780486,PAR;144
147,BIOSCIENCES 4,29.0,9.01375,PAR;147
148A,ARTS WEST BUILDING (NORTH WING),34.0,11.713157894736842,PAR;148A
148B,ARTS WEST BUILDING (WEST WING),37.0,12.095333333333333,PAR;148B
149,OLD ARTS BUILDING,31.0,14.741,PAR;149
150,OLD QUADRANGLE BUILDING,13.0,8.871,PAR;150
151,WILSON HALL,16.0,11.628571428571428,PAR;151
153,CHEMISTRY BUILDING (WEST WING),7.0,26.389999999999997,PAR;153
154,CHEMISTRY BUILDING (EAST WING),4.0,7.822857142857144,PAR;154
155,OLD GEOLOGY BUILDING (NORTH WING),7.0,10.991999999999999,PAR;155
156,OLD GEOLOGY BUILDING (SOUTH WING),6.0,7.1259999999999994,PAR;156
158,SIDNEY MYER ASIA CENTRE,30.0,9.866428571428573,PAR;158
160,PETER HALL BUILDING,22.0,11.640000000000002,PAR;160
161,BUILDING 161,4.0,5.26,PAR;161
162,ALICE HOY BUILDING,14.0,7.495000000000001,PAR;162
163,WALTER BOAS BUILDING,14.0,11.173750000000002,PAR;163
165,CHEMICAL ENGINEERING 1,11.0,6.095833333333334,PAR;165
166,OLD METALLURGY BUILDING,8.0,5.2733333333333325,PAR;166
167,CHEMICAL ENGINEERING 2,5.0,10.943333333333333,PAR;167
168,DOUG MCDONELL BUILDING,40.0,7.655428571428572,PAR;168
169,ENGINEERING WORKSHOPS,5.0,4.610000000000001,PAR;169
170,MECHANICAL ENGINEERING BUILDING,12.0,10.91875,PAR;170
171,EASTERN RESOURCE CENTRE (ERC LIBRARY),6.0,11.430000000000001,PAR;171
173,OLD ENGINEERING SCHOOL,23.0,13.257272727272728,PAR;173
174,INFRASTRUCTURE ENGINEERING (BLOCK C),0.0,9.5975,PAR;174
175,INFRASTRUCTURE ENGINEERING (BLOCK B),0.0,7.2925,PAR;175
176,INFRASTRUCTURE ENGINEERING (BLOCK D),5.0,10.718750000000002,PAR;176
177,BAILLIEU LIBRARY,49.0,11.316086956521739,PAR;177
181,MEDICAL BUILDING,31.0,7.84294117647059,PAR;181
182,BROWNLESS BIOMEDICAL LIBRARY,25.0,16.74571428571429,PAR;182
184,OLD MICROBIOLOGY BUILDING,28.0,6.478095238095239,PAR;184
189,FRANK TATE BUILDING,1.0,10.74,PAR;189
191,JOHN MEDLEY BUILDING,39.0,9.474,PAR;191
192,DAVID CARO BUILDING,41.0,9.395,PAR;192
193,ELECTRICAL & ELECTRONIC ENGINEERING BUILDING,22.0,12.851111111111111,PAR;193
194,BIOSCIENCES 5,8.0,8.498000000000001,PAR;194
195,SOUTH LAWN UNDERGROUND CAR PARK,2.0,15.34,PAR;195
199,757 SWANSTON ST (STOP 1 & STUDENT SERVICES),41.0,13.460454545454542,PAR;199
200,MCCOY BUILDING,18.0,9.132000000000001,PAR;200
201,THOMAS CHERRY BUILDING,16.0,8.700000000000001,PAR;201
203,SECURITY OFFICE,5.0,5.7749999999999995,PAR;203
204,208-210 BERKELEY ST (MCM PRACTICE ROOMS),5.0,9.83,PAR;204
206,214 BERKELEY ST (MCM PRACTICE ROOMS),2.0,3.1,PAR;206
207,202-206 BERKELEY ST (MDHS),4.0,8.25,PAR;207
220,780 ELIZABETH ST,20.0,10.5625,PAR;220
221,45 BARRY ST (LEVEL 3),8.0,11.776666666666666,PAR;221
224,169 BERKELEY ST (MU SPORT),7.0,4.682,PAR;224
225,221 BERKELEY ST (CYP),3.0,11.934999999999999,PAR;225
232,"535 ELIZABETH ST (LEVELS 3, 4, 5)",18.0,9.857777777777777,PAR;232
243,715 SWANSTON ST (MUP & TC),5.0,13.075,PAR;243
244,800 SWANSTON ST (EYECARE CLINIC),2.0,2.965,PAR;244
245,32 LINCOLN SQUARE NORTH,12.0,10.058333333333334,PAR;245
246,550 SWANSTON ST (AUDIOLOGY CLINIC),13.0,6.345000000000001,PAR;246
249,183 BOUVERIE ST (LINCOLN SQUARE GYM),11.0,8.913333333333334,PAR;249
250,233 BOUVERIE ST (FBE),11.0,7.073333333333334,PAR;250
251,155 BARRY ST,1.0,2.8,PAR;251
252,156-162 PELHAM ST (STUDENT SERVICES),3.0,4.045,PAR;252
253,164-170 PELHAM ST (STUDENT SERVICES),5.0,8.246666666666666,PAR;253
254,172 BOUVERIE ST (MSE),3.0,2.7049999999999996,PAR;254
257,187 GRATTAN ST,5.0,4.8774999999999995,PAR;257
260,200 BERKELEY ST (MSHS),14.0,11.949166666666668,PAR;260
261,203 BOUVERIE ST (BIOMEDICAL ENGINEERING),8.0,7.781666666666665,PAR;261
262,228 QUEENSBERRY ST (CHILDCARE),11.0,9.263333333333334,PAR;262
263,KWONG LEE DOW BUILDING (MGSE),59.0,13.439000000000004,PAR;263
266,11 BARRY ST (BUSINESS SERVICES),40.0,15.608181818181817,PAR;266
269,170 BOUVERIE ST (ATLANTIC FELLOWS PROGRAM),2.0,4.2,PAR;269
274,201 GRATTAN ST (MELBOURNE SOCIAL EQUITY INSTITUTE),2.0,7.495,PAR;274
278,100 LEICESTER ST (MGSE),40.0,10.051052631578951,PAR;278
281,204 LYGON ST (LEVELS 4 & 5),16.0,12.644999999999998,PAR;281
283,11-15 ARGYLE PLACE SOUTH (CO2CRC),0.0,4.395,PAR;283
300,VCA ARTIST'S STUDIO AT PAINSDALE PLACE,2.0,4.48,PAR;300
308,856-858 SWANSTON ST (CHILDCARE),7.0,6.9225,PAR;308
326,95-109 BARRY ST (FBE),3.0,4.863333333333333,PAR;326
333,EASTERN PRECINCT UNDERGROUND CARPARK,0.0,4.01,PAR;333
335,427-429 CARDIGAN ST (FAMILY CLUB CO-OP LTD),7.0,7.8125,PAR;335
337,131-137 BARRY ST (FBE),4.0,4.49,PAR;337
344,PETER MCPHEE CENTRE,3.0,6.183333333333333,PAR;344
348,723 SWANSTON ST (MELBOURNE DENTAL CLINIC LTD),27.0,8.352666666666668,PAR;348
352,157 BARRY ST,2.0,2.9450000000000003,PAR;352
353,159 BARRY ST,1.0,2.03,PAR;353
356,21 ROYAL PARADE,1.0,3.81,PAR;356
357,23 ROYAL PARADE,1.0,3.81,PAR;357
358,25 ROYAL PARADE,0.0,4.07,PAR;358
359,27 ROYAL PARADE,3.0,2.3519999999999994,PAR;359
368,205 GRATTAN ST (OFFICE OF ASSOCIATE PROVOST),4.0,4.445,PAR;368
379,207-221 BOUVERIE ST (MSPGH & GEOGRAPHY),49.0,14.698571428571428,PAR;379
381,"333 EXHIBITION ST (MSPGH, MSE, STUDIO 4, MC)",38.0,6.608076923076923,PAR;381
